question,human_answer,,response,,rouge1,rouge2,rougeL
How does caffeine affect the nervous system?,"It blocks adenosine receptors, reducing drowsiness and inducing stimulatory effects.",10,"Caffeine stimulates the central nervous system by antagonizing the adenosine receptor, an inhibitory neuromodulator that prompts feelings of drowsiness.",19,0.206896552,0.074074074,0.206896552
What is coffee influence on osteoporosis risk?,Excessive consumption slightly decreases calcium absorption; moderation is recommended.,9,"Caffeine slightly decreases calcium absorption, potentially increasing osteoporosis risk. Limiting coffee to 2-3 cups/day and ensuring adequate calcium and vitamin D intake may reduce this risk.",26,0.216216216,0.171428571,0.216216216
Which coffee preparation raises cholesterol levels?,Unfiltered coffee increases cholesterol due to diterpenes like cafestol and kahweol.,11,"Unfiltered coffee raises cholesterol levels as it is a significant source of diterpenes, the main cholesterol-raising compounds in coffee.",19,0.258064516,0.068965517,0.258064516
What is the key recommendation for coffee consumption?,Consume in moderation to enjoy its health benefits while avoiding potential risks.,12,The key recommendation for coffee consumption is that it is good for your health when consumed in moderation.,18,0.266666667,0.142857143,0.2
How does individual sensitivity to coffee vary?,Genetic variations influence coffee's effects on personal health.,8,"Individual sensitivity to coffee varies due to personal single nucleotide polymorphic variants, as shown in studies on genetic polymorphisms.",19,0.285714286,0,0.142857143
What antioxidants are found in coffee?,Chlorogenic acid and other phenolic antioxidant compounds.,7,"Coffee contains phenolic antioxidant compounds, with the major one being chlorogenic acid. The antioxidant activity varies according to the degree of roasting.",22,0.344827586,0.222222222,0.206896552
What is the safe caffeine intake for healthy adults?,300 mg/day or 2-3 cups of coffee.,7,"The safe caffeine intake for healthy adults is moderate, equating to 2-3 cups or 300mg per day.",17,0.37037037,0.16,0.222222222
What social benefits does coffee offer?,"It promotes social interaction, leisure, and enhances work performance.",9,"Coffee is often used for social activity and leisure, and it can also improve work performance and overall well-being.",19,0.413793103,0.148148148,0.344827586
How does coffee reduce the risk of suicide?,Each cup consumed daily decreases suicide risk by 13%.,9,"The study suggests that the risk of suicide decreases by 13% for every cup of coffee consumed daily, but it does not provide a clear explanation for this correlation.",29,0.421052632,0.111111111,0.157894737
How does roasting affect coffee antioxidant activity?,Medium-roasted coffee has maximum antioxidant activity.,6,"The antioxidant activity of coffee varies according to the degree of roasting, with maximum antioxidant activity measured for medium-roasted coffee.",20,0.428571429,0.307692308,0.285714286
Why should pregnant women limit caffeine intake?,Excessive caffeine may cause spontaneous abortion or fetal growth impairment.,10,"Excessive caffeine intake in pregnant women has been linked to spontaneous abortion or impaired fetal growth. Therefore, it's recommended not to exceed 300mg/day.",23,0.457142857,0.242424242,0.4
What are coffee's cardiovascular effects?,"It can cause high blood pressure, tachycardia, and occasional arrhythmias.",10,"Coffee can cause tachycardia, high blood pressure, and occasional arrhythmia. It may also contribute to the development of hypertension, particularly in infrequent coffee drinkers.",24,0.588235294,0.3125,0.470588235
What diseases may coffee help prevent?,"Type 2 diabetes, liver damage, Parkinson's, Alzheimer's, and certain cancers.",10,"Coffee may help prevent type 2 diabetes, liver damage, Parkinson's disease, Alzheimer's disease, and certain types of cancer. It may also reduce the risk of suicide.",26,0.6,0.421052632,0.6
What are the primary compounds in coffee?,"Caffeine, chlorogenic acid, cafestol, kahweol, carbohydrates, lipids, nitrogenous compounds, vitamins, and minerals.",12,"Coffee primarily contains caffeine, carbohydrates, lipids, nitrogenous compounds, vitamins, minerals, alkaloids, phenolic compounds, and the antioxidant chlorogenic acid.",18,0.666666667,0.357142857,0.466666667
What is the origin of coffee consumption?,Coffee consumption began in northeast Africa and spread to the Middle East in the 15th century.,16,Coffee consumption probably originated in northeast Africa and spread to the Middle East in the 15th century and then to Europe.,21,0.810810811,0.742857143,0.810810811
