question,human_answer,response,rouge1,rouge2,rougeL
What are the primary compounds in coffee?,"Caffeine, chlorogenic acid, cafestol, kahweol, carbohydrates, lipids, nitrogenous compounds, vitamins, and minerals.","Coffee primarily contains caffeine, carbohydrates, lipids, nitrogenous compounds, vitamins, minerals, alkaloids, and phenolic compounds.",0.6153846153846153,0.33333333333333337,0.5384615384615384
What is the origin of coffee consumption?,Coffee consumption began in northeast Africa and spread to the Middle East in the 15th century.,Coffee consumption probably originated in northeast Africa and spread to the Middle East in the 15th century.,0.9090909090909091,0.8387096774193549,0.9090909090909091
How does caffeine affect the nervous system?,"Coffee blocks adenosine receptors, reducing drowsiness and inducing stimulatory effects.","Caffeine stimulates the central nervous system by antagonizing the adenosine receptor, reducing feelings of drowsiness.",0.32,0.17391304347826086,0.32
What is the safe caffeine intake for healthy adults?,300 mg/day or 2-3 cups of coffee.,"The safe caffeine intake for healthy adults is moderate, around 2-3 cups or 300mg per day.",0.3846153846153846,0.16666666666666666,0.23076923076923078
Why should pregnant women limit caffeine intake?,Excessive caffeine may cause spontaneous abortion or fetal growth impairment.,Excessive caffeine intake in pregnant women can cause spontaneous abortion or impaired fetal growth.,0.75,0.4545454545454546,0.6666666666666666
What antioxidants are found in coffee?,Chlorogenic acid and other phenolic antioxidant compounds.,"Coffee contains phenolic antioxidant compounds, with the major one being chlorogenic acid.",0.5263157894736842,0.3529411764705882,0.3157894736842105
How does roasting affect coffee’s antioxidant activity?,Medium-roasted coffee has maximum antioxidant activity.,"The antioxidant activity of coffee varies according to the degree of roasting, with medium-roasted coffee having maximum activity.",0.46153846153846156,0.25,0.3846153846153846
Which coffee preparation raises cholesterol levels?,Unfiltered coffee increases cholesterol due to diterpenes like cafestol and kahweol.,Unfiltered coffee raises cholesterol levels due to its higher concentration of diterpenes.,0.5217391304347826,0.1904761904761905,0.5217391304347826
What diseases may coffee help prevent?,"Type 2 diabetes, liver damage, Parkinson's, Alzheimer's, and certain cancers.","Coffee may help prevent type 2 diabetes, liver disease, Parkinson's disease, Alzheimer's disease, and certain types of cancer.",0.6874999999999999,0.39999999999999997,0.6874999999999999
How does coffee reduce the risk of suicide?,Each cup consumed daily decreases suicide risk by 13%.,The study found a 13% decrease in relative risk of suicide for every cup of coffee consumed daily.,0.5185185185185185,0.07999999999999999,0.2222222222222222
What are coffee's cardiovascular effects?,"Coffee can cause high blood pressure, tachycardia, and occasional arrhythmias.","Coffee can cause tachycardia, high blood pressure, occasional arrhythmia, and potentially a weak inverse association with stroke risk.",0.7142857142857143,0.3846153846153846,0.5714285714285714
What is coffee’s influence on osteoporosis risk?,Excessive consumption slightly decreases calcium absorption; moderation is recommended.,"Caffeine can slightly decrease calcium absorption, so limiting coffee to 2-3 cups/day may help reduce osteoporosis risk.",0.2857142857142857,0.23076923076923078,0.2857142857142857
What social benefits does coffee offer?,"Coffee promotes social interaction, leisure, and enhances work performance.","Coffee is used for social activity, leisure, and improvement of work performance.",0.5714285714285715,0.2105263157894737,0.5714285714285715
How does individual sensitivity to coffee vary?,Genetic variations influence coffee's effects on personal health.,Individual sensitivity to coffee varies due to personal single nucleotide polymorphic variants.,0.1904761904761905,0.0,0.1904761904761905
What is the key recommendation for coffee consumption?,Consume in moderation to enjoy its health benefits while avoiding potential risks.,The key recommendation for coffee consumption is to consume it in moderation.,0.3333333333333333,0.09090909090909091,0.25
